EMPRESA;IDENTIFICACAO;PRODUTO_REFERENCIA;CODIGO_DE_BARRAS;TAMANHO;COR;QTDE_ESTOQUE_ATUAL;QTDE_ESTOQUE_MINIMO
73829973763116;00 - CD;13.029.99.000;871739766274;P;JEANS;12.000;1.000
73829973763116;00 - CD;13.029.99.000;254982948344;36;VERMELHO;1.000;3.000
73829973763116;00 - CD;13.029.99.000;474310932349;GG;JEANS;0.000;1.000
73829973763116;00 - CD;13.029.99.000;587162403919;44;VERMELHO;2.000;0.000
73829973763116;00 - CD;20.514.97.ABC;231623075371;UNICO;VERMELHO;1.000;1.000
73829973763116;00 - CD;17.561.23.KIT;615807105294;UNICO;OFF WHITE;3.000;3.000
73829973763116;00 - CD;17.561.23.KIT;898338935192;P;VINHO;8.000;3.000
73829973763116;00 - CD;17.561.23.KIT;563148457194;UNICO;VERDE;0.000;1.000
73829973763116;00 - CD;17.561.23.KIT;741784718585;P;CINZA;8.000;3.000
73829973763116;00 - CD;86.757.71.KIT;419275304321;M;MARSALA;8.000;1.000
73829973763116;00 - CD;86.757.71.KIT;471660315808;46;NUDE;0.000;2.000
73829973763116;00 - CD;86.757.71.KIT;206632066757;38;NUDE;1.000;1.000
73829973763116;00 - CD;86.757.71.KIT;503715740122;38;BRANCO;8.000;2.000
73829973763116;00 - CD;86.757.71.KIT;189421711162;40;CINZA;40.000;2.000
73829973763116;00 - CD;86.757.71.KIT;832110504190;P;AZUL;40.000;0.000
73829973763116;00 - CD;00.043.76.000;484965601038;38;MARSALA;0.000;3.000
73829973763116;00 - CD;00.043.76.000;536780433212;G;NUDE;3.000;1.000
73829973763116;00 - CD;90.142.03.ABC;179957009034;36;BEGE;2.000;2.000
73829973763116;00 - CD;90.142.03.ABC;622061333038;GG;JEANS;12.000;0.000
73829973763116;00 - CD;90.142.03.ABC;759127961549;PP;BEGE;12.000;1.000
73829973763116;00 - CD;90.444.22.000;621061668501;36;OFF WHITE;3.000;1.000
73829973763116;00 - CD;87.585.22.ABC;763095831349;GG;VERDE;2.000;2.000
73829973763116;00 - CD;87.585.22.ABC;825519086982;UNICO;BRANCO;2.000;3.000
73829973763116;00 - CD;87.585.22.ABC;443718893589;40;BRANCO;0.000;1.000
73829973763116;00 - CD;87.585.22.ABC;211793316426;46;BRANCO;5.000;2.000
73829973763116;00 - CD;87.585.22.ABC;440317039857;XG;VERDE;0.000;2.000
73829973763116;00 - CD;87.585.22.ABC;237952504803;M;NUDE;2.000;2.000
73829973763116;00 - CD;89.270.47.XPT;734814505540;M;MARSALA;8.000;2.000
73829973763116;00 - CD;89.270.47.XPT;282956475539;XG;BRANCO;0.000;3.000
73829973763116;00 - CD;66.405.61.000;105765414164;P;ESTAMPADO;12.000;2.000
73829973763116;00 - CD;66.405.61.000;105847542192;G;MARSALA;12.000;1.000
73829973763116;00 - CD;66.405.61.000;751348957586;M;MARSALA;5.000;2.000
73829973763116;00 - CD;66.405.61.000;458379146491;42;ESTAMPADO;25.000;1.000
73829973763116;00 - CD;10.083.52.ABC;120345231041;U;CARAMELO;3.000;1.000
73829973763116;00 - CD;10.083.52.ABC;645602041757;G;BRANCO;0.000;0.000
73829973763116;00 - CD;38.198.04.FEM;233802861754;XG;AZUL;0.000;3.000
73829973763116;00 - CD;38.198.04.FEM;786225133758;42;BRANCO;0.000;1.000
73829973763116;00 - CD;38.198.04.FEM;463355638787;34;PRETO;40.000;3.000
73829973763116;00 - CD;65.227.33.000;938548917156;GG;VERDE;25.000;2.000
73829973763116;00 - CD;65.227.33.000;827954273531;XG;MARSALA;0.000;2.000
73829973763116;00 - CD;65.227.33.000;830137033152;UNICO;VERDE;40.000;1.000
73829973763116;00 - CD;65.227.33.000;572765302201;PP;PRETO;12.000;2.000
73829973763116;00 - CD;65.227.33.000;490417986243;36;CINZA;8.000;0.000
73829973763116;00 - CD;65.227.33.000;406555244032;G;CARAMELO;25.000;3.000
73829973763116;00 - CD;96.556.20.FEM;339406098858;42;JEANS;1.000;2.000
73829973763116;00 - CD;96.556.20.FEM;992134722089;34;CINZA;2.000;1.000
73829973763116;00 - CD;96.556.20.FEM;494639875550;UNICO;PRETO;0.000;0.000
73829973763116;00 - CD;26.518.05.FEM;547973548687;UNICO;BEGE;2.000;3.000
73829973763116;00 - CD;32.853.44.MEN;399303602849;40;CARAMELO;5.000;3.000
73829973763116;00 - CD;27.904.10.FEM;350815055218;36;BEGE;1.000;0.000
73829973763116;00 - CD;27.904.10.FEM;205136259341;GG;NUDE;5.000;0.000
73829973763116;00 - CD;27.904.10.FEM;555596709301;42;JEANS;1.000;3.000
73829973763116;00 - CD;27.904.10.FEM;284282830090;46;VERDE;1.000;2.000
73829973763116;00 - CD;27.904.10.FEM;976981377381;34;BRANCO;40.000;1.000
73829973763116;00 - CD;31.580.40.ABC;485694956716;38;NUDE;0.000;0.000
73829973763116;00 - CD;31.580.40.ABC;618101211894;P;JEANS;8.000;1.000
73829973763116;00 - CD;31.580.40.ABC;379285786083;M;VINHO;1.000;3.000
73829973763116;00 - CD;31.580.40.ABC;484524191988;38;VERDE;12.000;1.000
73829973763116;00 - CD;31.580.40.ABC;664326748427;42;CINZA;3.000;3.000
73829973763116;00 - CD;31.580.40.ABC;247760371744;UNICO;JEANS;5.000;0.000
73829973763116;00 - CD;37.680.01.000;806612461683;GG;PRETO;0.000;1.000
73829973763116;00 - CD;19.444.41.KIT;854433826232;46;JEANS;0.000;3.000
73829973763116;00 - CD;19.444.41.KIT;412161046216;38;NUDE;2.000;1.000
73829973763116;00 - CD;19.444.41.KIT;753266013274;M;MARSALA;5.000;1.000
73829973763116;00 - CD;07.841.47.XPT;128229208062;36;ESTAMPADO;3.000;3.000
73829973763116;00 - CD;76.288.01.000;920995803601;42;PRETO;25.000;3.000
73829973763116;00 - CD;42.026.17.ABC;234131844834;P;ESTAMPADO;3.000;2.000
73829973763116;00 - CD;42.026.17.ABC;621672065903;46;VERDE;5.000;3.000
73829973763116;00 - CD;76.079.58.FEM;237562842866;36;JEANS;2.000;0.000
73829973763116;00 - CD;76.079.58.FEM;342838735161;P;ESTAMPADO;1.000;1.000
73829973763116;00 - CD;76.079.58.FEM;470421456870;M;NUDE;25.000;2.000
73829973763116;00 - CD;76.079.58.FEM;154804409997;P;OFF WHITE;25.000;0.000
73829973763116;00 - CD;21.175.05.KIT;622328628414;38;NUDE;5.000;0.000
73829973763116;00 - CD;21.175.05.KIT;702665428011;42;CARAMELO;0.000;2.000
73829973763116;00 - CD;21.175.05.KIT;630833392040;34;MARSALA;2.000;2.000
73829973763116;00 - CD;21.175.05.KIT;253191362868;44;BRANCO;3.000;2.000
73829973763116;00 - CD;88.566.71.XPT;918100997561;G;ESTAMPADO;1.000;0.000
73829973763116;00 - CD;88.566.71.XPT;394716324347;G;VERDE;0.000;2.000
73829973763116;00 - CD;88.566.71.XPT;299555418366;38;NUDE;1.000;2.000
73829973763116;00 - CD;88.566.71.XPT;319664040052;XG;NUDE;8.000;3.000
73829973763116;00 - CD;96.406.94.FEM;889441800814;XG;VERDE;25.000;0.000
73829973763116;00 - CD;96.406.94.FEM;288474762303;UNICO;ESTAMPADO;0.000;2.000
73829973763116;00 - CD;96.406.94.FEM;206496775368;42;NUDE;40.000;3.000
73829973763116;00 - CD;96.406.94.FEM;450032848079;PP;BRANCO;12.000;3.000
73829973763116;00 - CD;96.406.94.FEM;817578715041;M;CINZA;0.000;2.000
73829973763116;00 - CD;96.406.94.FEM;175349084789;36;CARAMELO;40.000;2.000
73829973763116;00 - CD;27.006.49.FEM;437590498519;UNICO;BRANCO;0.000;1.000
73829973763116;00 - CD;27.006.49.FEM;897956164025;GG;CARAMELO;8.000;0.000
73829973763116;00 - CD;27.006.49.FEM;885550849773;42;BRANCO;12.000;0.000
73829973763116;00 - CD;54.375.36.ABC;522498100228;M;VINHO;40.000;2.000
73829973763116;00 - CD;54.375.36.ABC;784249340141;44;BRANCO;8.000;1.000
73829973763116;00 - CD;18.693.38.FEM;226325574693;GG;CINZA;8.000;3.000
73829973763116;00 - CD;18.693.38.FEM;920722168550;P;VERDE;3.000;1.000
73829973763116;00 - CD;18.693.38.FEM;192361567337;36;PRETO;5.000;1.000
73829973763116;00 - CD;18.693.38.FEM;537355833999;42;PRETO;3.000;2.000
73829973763116;00 - CD;35.749.99.000;968544613217;PP;BEGE;25.000;0.000
73829973763116;00 - CD;56.939.97.000;384696161362;42;CINZA;8.000;3.000
73829973763116;00 - CD;56.939.97.000;503192155465;46;BRANCO;40.000;3.000
73829973763116;00 - CD;56.939.97.000;994661428497;40;VINHO;12.000;3.000
73829973763116;00 - CD;56.939.97.000;198442284390;U;ESTAMPADO;3.000;3.000
73829973763116;00 - CD;56.939.97.000;819736623153;G;AZUL;0.000;1.000
73829973763116;00 - CD;10.354.56.000;281870104316;42;NUDE;0.000;3.000
73829973763116;00 - CD;06.871.95.KIT;699723490183;M;PRETO;2.000;1.000
73829973763116;00 - CD;06.871.95.KIT;802081624283;UNICO;VERMELHO;12.000;3.000
73829973763116;00 - CD;06.871.95.KIT;665906903514;44;JEANS;1.000;0.000
73829973763116;00 - CD;59.251.95.XPT;913867354277;36;VINHO;0.000;1.000
73829973763116;00 - CD;59.251.95.XPT;715702027021;38;VERMELHO;0.000;0.000
73829973763116;00 - CD;59.251.95.XPT;708431634122;40;CINZA;8.000;1.000
73829973763116;00 - CD;83.470.19.XPT;471622010638;36;BEGE;2.000;0.000
73829973763116;00 - CD;83.470.19.XPT;248488528719;42;ROSA;3.000;0.000
73829973763116;00 - CD;83.470.19.XPT;685878872864;42;CINZA;3.000;1.000
73829973763116;00 - CD;83.470.19.XPT;362620760490;34;JEANS;40.000;0.000
73829973763116;00 - CD;51.497.65.KIT;543793698603;42;BEGE;2.000;0.000
73829973763116;00 - CD;51.497.65.KIT;831679838673;42;PRETO;5.000;3.000
73829973763116;00 - CD;27.023.62.000;331084630711;UNICO;ROSA;25.000;0.000
73829973763116;00 - CD;27.023.62.000;184818642526;G;VINHO;12.000;1.000
73829973763116;00 - CD;27.023.62.000;731004503272;34;OFF WHITE;0.000;0.000
73829973763116;00 - CD;27.023.62.000;832356737328;46;JEANS;2.000;1.000
73829973763116;00 - CD;65.075.02.XPT;807493404633;G;ROSA;25.000;1.000
73829973763116;00 - CD;65.075.02.XPT;708827994349;P;JEANS;25.000;1.000
73829973763116;00 - CD;65.075.02.XPT;656232430364;44;JEANS;1.000;1.000
73829973763116;00 - CD;79.002.93.000;384622820661;34;VERMELHO;0.000;1.000
73829973763116;00 - CD;84.925.30.KIT;415621647637;40;OFF WHITE;3.000;3.000
73829973763116;00 - CD;84.925.30.KIT;566657385546;34;NUDE;25.000;1.000
73829973763116;00 - CD;84.925.30.KIT;288549651694;36;ESTAMPADO;40.000;1.000
73829973763116;00 - CD;53.108.00.XPT;877906643418;34;MARSALA;2.000;2.000
73829973763116;00 - CD;53.108.00.XPT;214050178120;GG;JEANS;3.000;2.000
73829973763116;00 - CD;53.108.00.XPT;992917645880;44;JEANS;2.000;2.000
73829973763116;00 - CD;53.108.00.XPT;263195409341;36;VINHO;2.000;1.000
73829973763116;00 - CD;96.161.09.FEM;985027053955;36;OFF WHITE;0.000;1.000
73829973763116;00 - CD;96.161.09.FEM;374967537669;PP;VERDE;1.000;3.000
73829973763116;00 - CD;96.161.09.FEM;499592120915;XG;BRANCO;12.000;1.000
73829973763116;00 - CD;96.161.09.FEM;550066269652;GG;NUDE;25.000;2.000
73829973763116;00 - CD;40.318.57.FEM;373408683608;46;ROSA;0.000;2.000
73829973763116;00 - CD;40.318.57.FEM;946826182973;U;CARAMELO;5.000;3.000
73829973763116;00 - CD;40.318.57.FEM;568382764090;G;JEANS;5.000;3.000
73829973763116;00 - CD;40.318.57.FEM;125903278048;GG;CINZA;2.000;3.000
73829973763116;00 - CD;76.673.05.MEN;955314602266;U;VERMELHO;0.000;0.000
73829973763116;00 - CD;76.673.05.MEN;750651941516;XG;MARSALA;0.000;0.000
73829973763116;00 - CD;76.673.05.MEN;794753668310;U;OFF WHITE;40.000;1.000
73829973763116;00 - CD;47.006.92.KIT;137278800914;M;ESTAMPADO;40.000;1.000
73829973763116;00 - CD;47.006.92.KIT;605598395591;M;VERMELHO;0.000;3.000
73829973763116;00 - CD;22.490.96.FEM;246686919937;44;ESTAMPADO;2.000;1.000
73829973763116;00 - CD;22.490.96.FEM;504772098885;38;OFF WHITE;40.000;1.000
73829973763116;00 - CD;22.490.96.FEM;140309367782;46;AZUL;0.000;2.000
73829973763116;00 - CD;28.017.52.000;911993116566;XG;VINHO;0.000;2.000
73829973763116;00 - CD;28.017.52.000;540910673246;M;AZUL;2.000;0.000
73829973763116;00 - CD;15.616.74.KIT;872658213313;42;OFF WHITE;5.000;0.000
73829973763116;00 - CD;15.616.74.KIT;177328831533;42;CINZA;0.000;2.000
73829973763116;00 - CD;15.616.74.KIT;853489688408;36;JEANS;12.000;0.000
73829973763116;00 - CD;15.616.74.KIT;447446608091;40;BEGE;1.000;0.000
73829973763116;00 - CD;15.616.74.KIT;584030526724;M;VINHO;2.000;2.000
73829973763116;00 - CD;80.806.14.XPT;154985368081;38;NUDE;2.000;3.000
73829973763116;00 - CD;80.806.14.XPT;370740597874;P;BEGE;1.000;2.000
73829973763116;00 - CD;04.864.32.ABC;622755065294;46;ESTAMPADO;8.000;3.000
73829973763116;00 - CD;44.313.98.ABC;728571062976;38;PRETO;5.000;3.000
73829973763116;00 - CD;44.313.98.ABC;676865064860;P;VERDE;2.000;1.000
73829973763116;00 - CD;44.313.98.ABC;566571331760;46;ESTAMPADO;2.000;1.000
73829973763116;00 - CD;44.313.98.ABC;368199767515;M;ESTAMPADO;40.000;0.000
73829973763116;00 - CD;17.525.89.KIT;580583663605;44;VINHO;1.000;3.000
73829973763116;00 - CD;17.525.89.KIT;145504193418;36;NUDE;12.000;1.000
73829973763116;00 - CD;17.525.89.KIT;228572333201;40;BRANCO;0.000;3.000
73829973763116;00 - CD;17.525.89.KIT;455005898266;44;VERMELHO;3.000;2.000
73829973763116;00 - CD;86.189.46.MEN;408272640264;44;JEANS;3.000;2.000
73829973763116;00 - CD;86.189.46.MEN;821180182242;34;CARAMELO;2.000;3.000
73829973763116;00 - CD;86.189.46.MEN;533425346807;P;MARSALA;25.000;1.000
73829973763116;00 - CD;86.189.46.MEN;643704070537;XG;NUDE;0.000;1.000
73829973763116;00 - CD;86.189.46.MEN;529961556039;XG;AZUL;5.000;3.000
73829973763116;00 - CD;86.189.46.MEN;986063180130;34;PRETO;3.000;2.000
73829973763116;00 - CD;47.239.18.000;963940053276;46;BRANCO;2.000;0.000
73829973763116;00 - CD;47.239.18.000;352438075904;PP;MARSALA;1.000;3.000
73829973763116;00 - CD;47.239.18.000;738785947505;34;VINHO;2.000;0.000
73829973763116;00 - CD;47.239.18.000;150359439005;GG;JEANS;12.000;0.000
73829973763116;00 - CD;47.239.18.000;436277486285;P;BEGE;12.000;3.000
73829973763116;00 - CD;06.254.91.000;890367140889;40;ROSA;3.000;2.000
73829973763116;00 - CD;06.254.91.000;784489388329;44;VERMELHO;1.000;2.000
73829973763116;00 - CD;06.254.91.000;524593154873;36;PRETO;0.000;1.000
73829973763116;00 - CD;06.254.91.000;327476904964;40;CINZA;0.000;2.000
73829973763116;00 - CD;40.991.29.ABC;314593279352;38;PRETO;2.000;2.000
73829973763116;00 - CD;40.991.29.ABC;411571853125;46;MARSALA;12.000;2.000
73829973763116;00 - CD;75.017.57.MEN;434968787907;40;MARSALA;40.000;0.000
73829973763116;00 - CD;75.017.57.MEN;381202891371;U;BEGE;12.000;2.000
73829973763116;00 - CD;07.490.14.ABC;734887708370;UNICO;BEGE;1.000;3.000
73829973763116;00 - CD;07.490.14.ABC;804851317301;42;PRETO;2.000;1.000
73829973763116;00 - CD;07.490.14.ABC;733617333775;P;VINHO;25.000;2.000
73829973763116;00 - CD;91.788.94.FEM;183652348675;GG;JEANS;25.000;1.000
73829973763116;00 - CD;91.788.94.FEM;195799066254;U;NUDE;0.000;0.000
73829973763116;00 - CD;91.788.94.FEM;702901567051;34;MARSALA;25.000;1.000
73829973763116;00 - CD;59.207.42.FEM;623061289593;40;PRETO;1.000;2.000
73829973763116;00 - CD;59.207.42.FEM;550219995930;44;ROSA;5.000;3.000
73829973763116;00 - CD;59.207.42.FEM;703046381507;42;AZUL;3.000;0.000
73829973763116;00 - CD;59.207.42.FEM;115210673206;36;ROSA;0.000;1.000
73829973763116;00 - CD;59.207.42.FEM;920404114921;GG;VERMELHO;0.000;1.000
73829973763116;00 - CD;32.485.89.000;322600389637;P;VERMELHO;1.000;2.000
73829973763116;00 - CD;69.801.96.XPT;880184962941;PP;OFF WHITE;0.000;1.000
73829973763116;00 - CD;69.801.96.XPT;838864989051;M;VERMELHO;5.000;2.000
73829973763116;00 - CD;69.801.96.XPT;225575075853;PP;BRANCO;0.000;3.000
73829973763116;00 - CD;71.231.34.FEM;223384140579;40;PRETO;1.000;3.000
73829973763116;00 - CD;71.231.34.FEM;278144582007;PP;OFF WHITE;25.000;0.000
73829973763116;00 - CD;71.231.34.FEM;950635166009;PP;AZUL;8.000;1.000
73829973763116;00 - CD;22.908.37.KIT;333975556453;G;VERMELHO;0.000;3.000
73829973763116;00 - CD;22.908.37.KIT;403972354980;U;JEANS;2.000;3.000
73829973763116;00 - CD;15.197.46.MEN;145458173092;40;BRANCO;2.000;2.000
73829973763116;00 - CD;15.197.46.MEN;821972372653;42;BEGE;0.000;1.000
73829973763116;00 - CD;15.197.46.MEN;567500732252;34;BEGE;3.000;0.000
73829973763116;00 - CD;15.197.46.MEN;813150376619;XG;MARSALA;5.000;0.000
73829973763116;00 - CD;15.197.46.MEN;350688144138;46;CARAMELO;2.000;0.000
73829973763116;00 - CD;12.760.32.XPT;973110336218;46;VERMELHO;0.000;2.000
73829973763116;00 - CD;12.760.32.XPT;926991107331;G;VINHO;25.000;0.000
73829973763116;00 - CD;12.760.32.XPT;211823542332;34;MARSALA;0.000;0.000
73829973763116;00 - CD;69.122.34.ABC;694508167431;46;AZUL;40.000;0.000
73829973763116;00 - CD;69.122.34.ABC;325095461854;G;NUDE;12.000;0.000
73829973763116;00 - CD;60.137.11.000;554278492772;M;JEANS;0.000;3.000
73829973763116;00 - CD;60.137.11.000;732812419595;U;VINHO;2.000;3.000
73829973763116;00 - CD;60.137.11.000;269191361866;42;CINZA;40.000;1.000
73829973763116;00 - CD;60.137.11.000;790079874067;GG;CINZA;25.000;3.000
73829973763116;00 - CD;60.137.11.000;795825151277;M;NUDE;25.000;0.000
73829973763116;00 - CD;60.137.11.000;932569058825;44;JEANS;0.000;2.000
73829973763116;00 - CD;88.070.52.000;444867129669;38;OFF WHITE;8.000;2.000
73829973763116;00 - CD;88.070.52.000;761366662706;M;BEGE;0.000;3.000
73829973763116;00 - CD;88.070.52.000;885514658272;M;NUDE;25.000;0.000
73829973763116;00 - CD;27.834.61.FEM;601592048012;P;NUDE;1.000;2.000
73829973763116;00 - CD;27.834.61.FEM;678027164200;36;JEANS;12.000;2.000
73829973763116;00 - CD;27.834.61.FEM;270840079305;38;VINHO;5.000;3.000
73829973763116;00 - CD;27.834.61.FEM;436051890000;GG;JEANS;1.000;0.000
73829973763116;00 - CD;27.834.61.FEM;524604831433;GG;ESTAMPADO;12.000;3.000
73829973763116;00 - CD;27.834.61.FEM;828108923545;34;NUDE;12.000;0.000
73829973763116;00 - CD;66.460.80.000;128616280413;38;AZUL;5.000;3.000
73829973763116;00 - CD;47.642.89.000;653231245918;GG;NUDE;5.000;1.000
73829973763116;00 - CD;88.016.41.ABC;443792921500;40;ROSA;5.000;0.000
73829973763116;00 - CD;88.016.41.ABC;654878319335;GG;AZUL;1.000;2.000
73829973763116;00 - CD;85.928.67.XPT;490250284488;XG;BRANCO;40.000;3.000
73829973763116;00 - CD;85.928.67.XPT;624007634945;M;ROSA;5.000;3.000
73829973763116;00 - CD;85.928.67.XPT;287312578411;46;MARSALA;1.000;3.000
73829973763116;00 - CD;85.928.67.XPT;442897570201;42;VINHO;1.000;0.000
73829973763116;00 - CD;43.032.20.ABC;981225214426;36;PRETO;0.000;1.000
73829973763116;00 - CD;43.032.20.ABC;621139052773;42;CARAMELO;40.000;3.000
73829973763116;00 - CD;62.280.51.MEN;153595539471;38;CARAMELO;1.000;1.000
73829973763116;00 - CD;62.280.51.MEN;783473095427;GG;VINHO;5.000;1.000
73829973763116;00 - CD;69.814.93.MEN;279082394060;GG;BEGE;1.000;0.000
73829973763116;00 - CD;69.814.93.MEN;550637351886;GG;VERDE;2.000;2.000
73829973763116;00 - CD;32.550.31.KIT;993994202791;36;CINZA;25.000;1.000
73829973763116;00 - CD;32.550.31.KIT;553152337270;38;OFF WHITE;12.000;3.000
73829973763116;00 - CD;32.550.31.KIT;637602619665;42;OFF WHITE;1.000;2.000
73829973763116;00 - CD;32.550.31.KIT;657716191708;PP;BRANCO;3.000;3.000
73829973763116;00 - CD;43.566.93.XPT;484290261396;M;JEANS;5.000;3.000
73829973763116;00 - CD;43.566.93.XPT;236304203706;GG;ROSA;12.000;0.000
73829973763116;00 - CD;43.566.93.XPT;389897064229;XG;PRETO;0.000;0.000
73829973763116;00 - CD;43.566.93.XPT;681280424807;GG;ROSA;2.000;0.000
73829973763116;00 - CD;08.103.76.ABC;817675715514;46;CINZA;25.000;2.000
73829973763116;00 - CD;08.103.76.ABC;624408624840;38;VERDE;40.000;2.000
73829973763116;00 - CD;04.963.89.FEM;800461468443;G;ROSA;0.000;3.000
73829973763116;00 - CD;04.963.89.FEM;765449379824;36;ROSA;0.000;3.000
73829973763116;00 - CD;04.963.89.FEM;725528256042;44;ROSA;40.000;1.000
73829973763116;00 - CD;04.963.89.FEM;224429475216;M;ESTAMPADO;12.000;1.000
73829973763116;00 - CD;04.963.89.FEM;618123280731;XG;MARSALA;0.000;2.000
73829973763116;00 - CD;99.217.42.ABC;723676603800;G;JEANS;0.000;3.000
73829973763116;00 - CD;99.217.42.ABC;459944473831;XG;CINZA;0.000;2.000
73829973763116;00 - CD;99.217.42.ABC;556490823483;44;PRETO;0.000;3.000
73829973763116;00 - CD;99.217.42.ABC;615142414904;46;CINZA;8.000;2.000
73829973763116;00 - CD;99.217.42.ABC;772773479731;UNICO;CINZA;0.000;1.000
73829973763116;00 - CD;99.217.42.ABC;724800128009;GG;OFF WHITE;0.000;2.000
73829973763116;00 - CD;28.793.71.ABC;140781921075;GG;NUDE;12.000;0.000
73829973763116;00 - CD;28.793.71.ABC;881597940449;P;AZUL;3.000;1.000
73829973763116;00 - CD;28.793.71.ABC;412104612440;U;ESTAMPADO;40.000;3.000
73829973763116;00 - CD;28.793.71.ABC;490823884082;XG;AZUL;40.000;1.000
73829973763116;00 - CD;28.793.71.ABC;437156489356;U;BRANCO;40.000;3.000
73829973763116;00 - CD;77.569.95.MEN;803385974823;XG;CARAMELO;5.000;2.000
73829973763116;00 - CD;77.569.95.MEN;302631600445;36;AZUL;0.000;2.000
73829973763116;00 - CD;69.401.56.FEM;932868657099;34;MARSALA;1.000;3.000
73829973763116;00 - CD;69.401.56.FEM;236976707060;M;VERDE;0.000;3.000
73829973763116;00 - CD;69.401.56.FEM;810996064344;G;VERDE;2.000;0.000
73829973763116;00 - CD;69.401.56.FEM;654297226117;46;CARAMELO;2.000;1.000
73829973763116;00 - CD;69.401.56.FEM;959852999376;44;VERDE;1.000;1.000
73829973763116;00 - CD;69.401.56.FEM;188439446951;44;CINZA;8.000;3.000
73829973763116;00 - CD;02.753.96.KIT;611336183048;GG;NUDE;3.000;3.000
73829973763116;00 - CD;80.844.57.FEM;775216587388;PP;VINHO;40.000;1.000
73829973763116;00 - CD;80.844.57.FEM;571643371583;PP;VERMELHO;0.000;0.000
73829973763116;00 - CD;80.844.57.FEM;933013362786;XG;BEGE;25.000;3.000
73829973763116;00 - CD;92.018.79.ABC;779373716382;40;CINZA;5.000;3.000
73829973763116;00 - CD;92.018.79.ABC;636192367151;XG;PRETO;12.000;2.000
73829973763116;00 - CD;92.018.79.ABC;213629075041;44;PRETO;25.000;0.000
73829973763116;00 - CD;92.018.79.ABC;508785374561;40;VERMELHO;5.000;0.000
73829973763116;00 - CD;92.018.79.ABC;277071124143;GG;OFF WHITE;2.000;2.000
73829973763116;00 - CD;59.279.24.ABC;275161597708;44;CINZA;12.000;2.000
73829973763116;00 - CD;59.279.24.ABC;458061444316;34;CARAMELO;8.000;3.000
73829973763116;00 - CD;59.279.24.ABC;167474488095;42;BRANCO;12.000;0.000
73829973763116;00 - CD;59.279.24.ABC;807432387747;38;PRETO;8.000;0.000
73829973763116;00 - CD;14.873.83.000;403840870499;42;VERMELHO;8.000;0.000
73829973763116;00 - CD;14.873.83.000;954547615242;38;VERDE;5.000;3.000
73829973763116;00 - CD;14.873.83.000;123863986749;46;MARSALA;40.000;2.000
73829973763116;00 - CD;14.873.83.000;852555395272;G;AZUL;0.000;0.000
73829973763116;00 - CD;14.873.83.000;145410212434;GG;VINHO;12.000;2.000
73829973763116;00 - CD;83.309.20.MEN;193316449576;M;VERMELHO;0.000;1.000
73829973763116;00 - CD;83.309.20.MEN;121966603413;36;VERMELHO;1.000;2.000
73829973763116;00 - CD;83.309.20.MEN;512360412504;42;MARSALA;2.000;2.000
73829973763116;00 - CD;83.309.20.MEN;798516318104;44;VERMELHO;40.000;0.000
73829973763116;00 - CD;83.309.20.MEN;172700359775;UNICO;JEANS;40.000;0.000
