REFERENCIA;DESCRICAO;DATA_CADASTRO;UNIDADE;ATIVO;GRUPO;MARCA;GENERO;MATERIAL;TIPO_REPOSICAO;FORNECEDOR_TAG;FORNECEDOR_CNPJ;PRECO_CUSTO;FOTO
90.444.22.000;OCULOS DUNA MASC;13/01/2019;PC;S;OCULOS FEMIN;QUINTAL PROMO;FEM;ALGODÃO;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;125.89;
87.585.22.ABC;BERMUDA ESSENCE FEM;04/03/2026;PC;S;BERMUDA TECIDO FEMIN;ORLA N;FEM;OUTROS;AGRUPADO;LINHA MESTRA IND E COM DE CONFEC LTDA;;189.48;
89.270.47.XPT;SAPATO BOSSA MASC;03/10/2023;UN;S;CALÇADO FEMIN;RAIZ L;FEM;POLIÉSTER;;ATELIE NORTE IND E COM DE CONFEC LTDA;;186.45;
66.405.61.000;MOLETOM RAIZ FEM;26/08/2023;PC;S;MOLETOM FEMIN;VENTO LESTE L;FEM;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;36.37;
10.083.52.ABC;BERMUDA QUINTAL MASC;24/09/2026;PAR;S;BERMUDA TECIDO FEMIN;JUREMA L;FEM;JEANS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;282.18;
38.198.04.FEM;TOP QUINTAL MASC;20/02/2023;PAR;S;TOP CROPPED FEMIN;RAIZ N;FEM;OUTROS;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;96.51;
65.227.33.000;VESTIDO VENTO LESTE;23/03/2026;PC;S;VESTIDO MIDI FEMIN;ATELIE SUL PROMO;FEM;OUTROS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;269.02;
96.556.20.FEM;CAMISETA VENTO LESTE FEM;04/04/2024;PC;S;CAMISETA FEMIN;TROPICAL CO L;FEM;ALGODÃO;;LINHA MESTRA IND E COM DE CONFEC LTDA;;183.79;
26.518.05.FEM;CALCA CARIOCA CRU;13/04/2024;PC;S;CALÇA JEANS FEMIN;ATELIE SUL L;FEM;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;242.92;
32.853.44.MEN;BLUSA LUMIERE FEM;09/06/2019;PC;S;BLUSA FEMIN;ZENITE L;FEM;LINHO;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;135.13;
27.904.10.FEM;VESTIDO VENTO LESTE MASC;03/06/2023;PC;S;VESTIDO CURTO FEMIN;URUCUM N;FEM;OUTROS;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;25.16;
31.580.40.ABC;BERMUDA MARE ALTA MASC;28/07/2025;PC;S;BERMUDA JEANS FEMIN;ZENITE N;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;92.54;
37.680.01.000;BIQUINI JUREMA FEM;07/02/2025;PAR;S;BIQUINI / MAIO FEMIN;MARE ALTA N;FEM;NYLON;;COSTURA VIVA IND E COM DE CONFEC LTDA;;140.66;
19.444.41.KIT;MOLETOM MARE ALTA MASC;18/12/2023;PC;N;MOLETOM FEMIN;ICARO N;FEM;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;270.29;
07.841.47.XPT;CONJ SAVANA FEM;14/02/2021;PC;S;CONJUNTO FEMIN;SAVANA N;FEM;ALGODÃO;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;183.94;
76.288.01.000;BLAZER NOS;13/06/2023;PC;N;BLAZER FEMIN;PRAIANO L;FEM;SARJA;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;53.81;
42.026.17.ABC;CAMISETA BOSSA FEM;08/02/2021;PC;S;CAMISETA MC MASC;QUINTAL PROMO;MASC;OUTROS;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;126.73;
76.079.58.FEM;SAPATO SAVANA;07/08/2020;PC;N;CALÇADO FEMIN;ORLA N;FEM;OUTROS;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;148.88;
21.175.05.KIT;BODY CARIOCA CRU MASC;22/05/2018;PC;S;BODY FEMIN;JUREMA PROMO;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;298.77;
88.566.71.XPT;JAQUETA MARE ALTA MASC;10/03/2024;PC;S;JAQUETA FEMIN;OUTROS;FEM;ALGODÃO;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;298.75;
96.406.94.FEM;SAIA DUNA;15/12/2025;PC;S;SAIA TECIDO FEMIN;HORIZONTE N;FEM;SARJA;INDIVIDUAL;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;137.39;
27.006.49.FEM;CAMISA LUMIERE MASC;15/04/2019;PC;S;CAMISA ML MASC;KAIROS N;MASC;OUTROS;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;68.03;
54.375.36.ABC;CAMISETA MARE ALTA FEM;08/06/2023;UN;S;CAMISETA FEMIN;MARE ALTA N;FEM;OUTROS;;LINHA MESTRA IND E COM DE CONFEC LTDA;;278.51;
18.693.38.FEM;CALCA ATELIE SUL;04/08/2018;PC;S;CALÇA TECIDO FEMIN;OUTROS;FEM;NYLON;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;131.77;
35.749.99.000;REGATA ICARO MASC;17/02/2019;PC;S;REGATA FEMIN;KAIROS N;FEM;JEANS;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;22.01;
56.939.97.000;CALCA URUCUM MASC;21/10/2021;PC;N;CALÇA JEANS MASC;ORLA L;MASC;OUTROS;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;99.18;
10.354.56.000;SAPATO PRAIANO FEM;04/03/2022;UN;N;CALÇADO FEMIN;TROPICAL CO N;FEM;OUTROS;AGRUPADO;MODA SUL IND E COM DE CONFEC LTDA;;177.88;
06.871.95.KIT;MOLETOM QUINTAL MASC;02/12/2020;UN;S;MOLETOM FEMIN;LUMIERE N;FEM;MOLETOM;;VESTIR BEM IND E COM DE CONFEC LTDA;;220.30;
59.251.95.XPT;VESTIDO VENTO LESTE;15/08/2025;PC;S;VESTIDO UNICO FEMIN;ICARO L;FEM;OUTROS;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;135.85;
83.470.19.XPT;CALCA MARE ALTA;17/11/2025;PC;N;CALÇA TECIDO FEMIN;CARIOCA CRU L;FEM;OUTROS;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;133.47;
51.497.65.KIT;MOLETOM HORIZONTE;09/02/2026;PAR;S;MOLETOM FEMIN;OUTROS;FEM;NYLON;AGRUPADO;LINHA MESTRA IND E COM DE CONFEC LTDA;;17.86;
27.023.62.000;SAIA ORLA;17/06/2023;UN;S;SAIA TECIDO FEMIN;DUNA L;FEM;OUTROS;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;88.87;
65.075.02.XPT;SAIA URUCUM FEM;03/09/2021;PC;S;SAIA TECIDO FEMIN;RAIZ N;FEM;OUTROS;INDIVIDUAL;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;318.58;
79.002.93.000;SAIA SAVANA MASC;14/06/2021;PC;S;SAIA TECIDO FEMIN;FLORADA L;FEM;JEANS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;263.74;
84.925.30.KIT;SAPATO HORIZONTE;22/11/2018;PC;S;CALÇADO MASC;SAVANA L;MASC;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;231.71;
53.108.00.XPT;PERFUME HORIZONTE MASC;24/07/2019;PC;S;PERFUMARIA FEMIN;SAVANA L;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;208.69;
96.161.09.FEM;SAPATO ZENITE MASC;28/05/2021;PC;S;CALÇADO FEMIN;PRAIANO N;FEM;COMBO;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;309.03;
40.318.57.FEM;POLO FLORADA;27/03/2026;UN;S;POLO MASC;CARIOCA CRU L;MASC;POLIÉSTER;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;95.78;
76.673.05.MEN;BODY TROPICAL CO;02/09/2018;PC;S;BODY FEMIN;VENTO LESTE N;FEM;JEANS;;VESTIR BEM IND E COM DE CONFEC LTDA;;168.82;
47.006.92.KIT;BODY SAVANA MASC;26/04/2024;PC;S;BODY FEMIN;MARE ALTA L;FEM;ALGODÃO;;VESTIR BEM IND E COM DE CONFEC LTDA;;199.70;
22.490.96.FEM;CINTO SAVANA;23/12/2023;PC;S;CINTO FEMIN;ESSENCE L;FEM;JEANS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;80.37;
28.017.52.000;BLUSA DUNA;09/09/2026;PC;S;BLUSA FEMIN;URUCUM L;FEM;OUTROS;INDIVIDUAL;LINHA MESTRA IND E COM DE CONFEC LTDA;;147.40;
15.616.74.KIT;CONJ CARIOCA CRU FEM;04/03/2021;PC;S;CONJUNTO FEMIN;QUINTAL PROMO;FEM;OUTROS;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;44.49;
80.806.14.XPT;BERMUDA SAVANA MASC;18/11/2022;UN;S;BERMUDA TECIDO FEMIN;PRAIANO N;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;314.03;
04.864.32.ABC;CAMISETA TROPICAL CO FEM;07/12/2026;PC;S;CAMISETA MC MASC;QUINTAL N;MASC;OUTROS;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;237.70;
44.313.98.ABC;REGATA MARE ALTA FEM;16/10/2019;PC;S;REGATA FEMIN;FLORADA N;FEM;COMBO;;ATELIE NORTE IND E COM DE CONFEC LTDA;;216.51;
17.525.89.KIT;CALCA ESSENCE FEM;18/10/2022;PC;S;CALÇA JEANS MASC;VENTO LESTE N;MASC;OUTROS;;FIO NOBRE IND E COM DE CONFEC LTDA;;79.88;
86.189.46.MEN;SAIA JUREMA MASC;06/09/2019;UN;S;SAIA TECIDO FEMIN;PRAIANO L;FEM;OUTROS;;TRAMA FINA IND E COM DE CONFEC LTDA;;295.60;
47.239.18.000;BODY FLORADA MASC;28/12/2026;PC;S;BODY FEMIN;OUTROS;FEM;JEANS;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;129.24;
06.254.91.000;BLAZER ZENITE FEM;19/12/2020;PAR;S;BLAZER FEMIN;BOSSA L;FEM;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;178.30;
40.991.29.ABC;SAPATO BOSSA FEM;02/04/2021;PC;N;CALÇADO MASC;ZENITE L;MASC;SARJA;;FIO NOBRE IND E COM DE CONFEC LTDA;;150.45;
75.017.57.MEN;TOP VENTO LESTE MASC;05/03/2019;UN;N;TOP CROPPED FEMIN;OUTROS;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;76.94;
07.490.14.ABC;CINTO MARE ALTA FEM;11/01/2025;UN;S;CINTO FEMIN;BOSSA L;FEM;OUTROS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;28.81;
91.788.94.FEM;CINTO MARE ALTA;10/10/2018;UN;S;CINTO FEMIN;ZENITE N;FEM;JEANS;;TRAMA FINA IND E COM DE CONFEC LTDA;;200.45;
59.207.42.FEM;BERMUDA RAIZ;08/04/2023;PC;N;BERMUDA JEANS FEMIN;FLORADA L;FEM;OUTROS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;292.39;
32.485.89.000;BOLSA DUNA MASC;02/12/2021;PC;S;BOLSA FEMIN;URUCUM L;FEM;JEANS;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;82.35;
69.801.96.XPT;CALCA TROPICAL CO FEM;01/05/2020;PAR;S;CALÇA JEANS FEMIN;LUMIERE L;FEM;OUTROS;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;106.11;
71.231.34.FEM;CAMISETA ATELIE SUL MASC;21/11/2022;PC;N;CAMISETA FEMIN;VENTO LESTE N;FEM;JEANS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;177.38;
22.908.37.KIT;CALCA CARIOCA CRU MASC;18/11/2025;PAR;S;CALÇA TECIDO FEMIN;MARE ALTA L;FEM;ALGODÃO;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;199.58;
15.197.46.MEN;SAPATO MARE ALTA FEM;14/06/2025;PC;S;CALÇADO MASC;RAIZ N;MASC;ALGODÃO;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;147.87;
12.760.32.XPT;PERFUME NOS;16/06/2019;PC;S;PERFUMARIA FEMIN;PRAIANO L;FEM;JEANS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;29.77;
69.122.34.ABC;TOP KAIROS MASC;27/08/2025;UN;N;TOP CROPPED FEMIN;SAVANA N;FEM;OUTROS;INDIVIDUAL;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;139.07;
60.137.11.000;CALCA SAVANA;09/10/2018;PC;N;CALÇA TECIDO FEMIN;TROPICAL CO L;FEM;OUTROS;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;35.37;
88.070.52.000;MOLETOM ESSENCE;03/07/2024;PAR;S;MOLETOM FEMIN;PRAIANO N;FEM;NYLON;;VESTIR BEM IND E COM DE CONFEC LTDA;;89.83;
27.834.61.FEM;CAMISETA QUINTAL MASC;13/03/2024;PAR;N;CAMISETA FEMIN;CARIOCA CRU N;FEM;OUTROS;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;284.05;
66.460.80.000;BERMUDA BOSSA;21/06/2024;PC;S;BERMUDA TECIDO FEMIN;FLORADA N;FEM;JEANS;;PONTO CERTO IND E COM DE CONFEC LTDA;;177.69;
47.642.89.000;SAIA PRAIANO FEM;17/08/2020;PC;S;SAIA JEANS FEMIN;FLORADA N;FEM;LINHO;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;233.15;
88.016.41.ABC;POLO TROPICAL CO FEM;20/12/2023;PAR;S;POLO MASC;JUREMA PROMO;MASC;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;244.70;
85.928.67.XPT;CAMISETA LUMIERE MASC;05/07/2022;UN;S;CAMISETA FEMIN;JUREMA N;FEM;ALGODÃO;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;290.75;
43.032.20.ABC;MACACAO LUMIERE FEM;21/09/2025;PAR;S;MACACAO FEMIN;URUCUM N;FEM;ALGODÃO;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;125.44;
62.280.51.MEN;TOP FLORADA MASC;02/08/2022;PC;S;TOP CROPPED FEMIN;VENTO LESTE L;FEM;LINHO;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;23.46;
69.814.93.MEN;BODY RAIZ FEM;13/05/2025;PC;S;BODY FEMIN;ATELIE SUL PROMO;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;278.91;
32.550.31.KIT;CINTO MARE ALTA FEM;23/08/2024;PC;S;CINTO FEMIN;KAIROS L;FEM;OUTROS;;TRAMA FINA IND E COM DE CONFEC LTDA;;292.40;
43.566.93.XPT;BIQUINI ZENITE;26/12/2019;UN;S;BIQUINI / MAIO FEMIN;ATELIE SUL N;FEM;JEANS;AGRUPADO;MODA SUL IND E COM DE CONFEC LTDA;;210.33;
08.103.76.ABC;CONJ TROPICAL CO;08/08/2024;UN;S;CONJUNTO FEMIN;FLORADA N;FEM;OUTROS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;26.99;
04.963.89.FEM;VESTIDO ESSENCE MASC;08/03/2019;PC;N;VESTIDO LONGO FEMIN;VENTO LESTE L;FEM;OUTROS;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;124.56;
99.217.42.ABC;PERFUME HORIZONTE MASC;10/05/2026;UN;S;PERFUMARIA FEMIN;TROPICAL CO PROMO;FEM;ALGODÃO;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;20.84;
28.793.71.ABC;BODY FLORADA MASC;26/11/2018;PAR;S;BODY FEMIN;ZENITE N;FEM;ALGODÃO;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;275.33;
77.569.95.MEN;BERMUDA NOS MASC;16/08/2018;UN;S;BERMUDA JEANS FEMIN;HORIZONTE L;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;57.72;
69.401.56.FEM;OCULOS ZENITE FEM;03/08/2018;PC;S;OCULOS FEMIN;SAVANA L;FEM;ALGODÃO;;MALHARIA MARE IND E COM DE CONFEC LTDA;;103.85;
02.753.96.KIT;BERMUDA RAIZ FEM;07/11/2026;PC;S;BERMUDA JEANS FEMIN;ATELIE SUL PROMO;FEM;OUTROS;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;237.33;
80.844.57.FEM;VESTIDO ATELIE SUL;26/09/2022;PC;S;VESTIDO CURTO FEMIN;ICARO N;FEM;JEANS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;153.05;
92.018.79.ABC;CALCA FLORADA FEM;25/08/2021;PC;S;CALÇA TECIDO FEMIN;ATELIE SUL N;FEM;JEANS;INDIVIDUAL;VESTIR BEM IND E COM DE CONFEC LTDA;;172.80;
59.279.24.ABC;JAQUETA FLORADA;19/05/2023;PC;S;JAQUETA FEMIN;ESSENCE N;FEM;ALGODÃO;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;91.24;
14.873.83.000;BIQUINI NOS MASC;24/07/2024;PC;N;BIQUINI / MAIO FEMIN;ICARO N;FEM;ALGODÃO;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;139.45;
83.309.20.MEN;CAMISETA URUCUM MASC;13/01/2020;PC;N;CAMISETA FEMIN;TROPICAL CO L;FEM;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;126.53;
01.948.41.KIT;MACACAO ZENITE;15/05/2026;UN;S;MACACAO FEMIN;FLORADA L;FEM;JEANS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;252.79;
15.161.12.000;JAQUETA ICARO;17/01/2025;PAR;S;JAQUETA FEMIN;ICARO L;FEM;ALGODÃO;INDIVIDUAL;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;147.66;
53.610.17.KIT;SAPATO NOS FEM;06/09/2020;PAR;N;CALÇADO MASC;HORIZONTE N;MASC;OUTROS;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;177.51;
34.410.57.ABC;CALCA NOS FEM;08/08/2022;UN;S;CALÇA JEANS FEMIN;BOSSA N;FEM;OUTROS;;VESTIR BEM IND E COM DE CONFEC LTDA;;197.40;
41.591.39.000;BERMUDA NOS;07/05/2023;PC;S;BERMUDA TECIDO FEMIN;GAROA PROMO;FEM;COMBO;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;202.04;
90.646.10.FEM;SAIA JUREMA;08/09/2019;UN;N;SAIA TECIDO FEMIN;JUREMA N;FEM;OUTROS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;286.15;
35.302.86.MEN;CINTO RAIZ;22/10/2018;PC;S;CINTO FEMIN;ZENITE N;FEM;JEANS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;50.17;
41.761.65.XPT;REGATA BOSSA;04/12/2019;PC;S;REGATA FEMIN;CARIOCA CRU N;FEM;COMBO;;FIO NOBRE IND E COM DE CONFEC LTDA;;77.56;
30.496.84.000;BIQUINI TROPICAL CO FEM;06/10/2019;PC;S;BIQUINI / MAIO FEMIN;MARE ALTA N;FEM;OUTROS;;VESTIR BEM IND E COM DE CONFEC LTDA;;126.29;
86.475.93.FEM;SAPATO HORIZONTE FEM;15/10/2023;PC;S;CALÇADO MASC;FLORADA N;MASC;LINHO;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;31.99;
39.013.50.XPT;VESTIDO MARE ALTA MASC;14/01/2019;UN;S;VESTIDO LONGO FEMIN;VENTO LESTE N;FEM;ALGODÃO;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;132.75;
37.413.22.XPT;CALCA MARE ALTA FEM;25/06/2024;PC;S;CALÇA TECIDO FEMIN;JUREMA N;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;137.35;
46.236.14.KIT;CAMISA MARE ALTA FEM;12/08/2020;PAR;S;CAMISA CHEMISE FEMIN;HORIZONTE N;FEM;JEANS;INDIVIDUAL;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;232.72;
09.112.15.MEN;BLUSA QUINTAL FEM;21/07/2026;PC;S;BLUSA FEMIN;QUINTAL N;FEM;OUTROS;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;284.88;
01.315.89.FEM;BOLSA ZENITE FEM;25/08/2022;UN;S;BOLSA FEMIN;CARIOCA CRU N;FEM;OUTROS;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;252.45;
31.592.13.KIT;TOP JUREMA;02/12/2022;PAR;S;TOP CROPPED FEMIN;VENTO LESTE N;FEM;JEANS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;235.91;
34.189.57.FEM;OCULOS KAIROS FEM;13/02/2024;PC;S;OCULOS FEMIN;NOS PROMO;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;122.48;
91.475.15.XPT;CAMISETA LUMIERE FEM;03/08/2020;PC;S;CAMISETA MC MASC;DUNA PROMO;MASC;OUTROS;;MODA SUL IND E COM DE CONFEC LTDA;;57.24;
39.095.30.FEM;CAMISA RAIZ FEM;04/04/2022;PAR;S;CAMISA CHEMISE FEMIN;QUINTAL L;FEM;JEANS;;PONTO CERTO IND E COM DE CONFEC LTDA;;66.47;
99.241.51.MEN;BLUSA BOSSA;21/12/2018;PC;S;BLUSA FEMIN;LUMIERE L;FEM;OUTROS;INDIVIDUAL;VESTIR BEM IND E COM DE CONFEC LTDA;;198.38;
32.443.32.XPT;VESTIDO LUMIERE MASC;01/11/2020;PAR;S;VESTIDO CURTO FEMIN;ICARO L;FEM;OUTROS;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;280.45;
58.136.58.000;SAIA ESSENCE;25/10/2021;PC;S;SAIA TECIDO FEMIN;NOS N;FEM;OUTROS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;308.80;
71.798.29.ABC;CALCA ICARO;24/07/2021;PC;N;CALÇA JEANS FEMIN;SAVANA L;FEM;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;222.34;
63.740.72.FEM;TOP LUMIERE FEM;07/01/2025;PC;S;TOP CROPPED FEMIN;QUINTAL PROMO;FEM;LINHO;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;101.72;
10.988.54.ABC;CAMISA PRAIANO;03/02/2026;PC;S;CAMISA CHEMISE FEMIN;ZENITE L;FEM;OUTROS;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;67.63;
93.225.99.ABC;CONJ HORIZONTE MASC;12/02/2020;PC;S;CONJUNTO FEMIN;GAROA L;FEM;OUTROS;;LINHA MESTRA IND E COM DE CONFEC LTDA;;235.68;
46.426.82.KIT;SAPATO URUCUM MASC;13/03/2020;PC;S;CALÇADO MASC;JUREMA N;MASC;OUTROS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;281.70;
